"StartDate","Total_reservations"
2022-08-30,1
2022-09-01,131
2022-09-02,109
2022-09-05,186
2022-09-06,241
2022-09-07,212
2022-09-08,171
2022-09-09,140
2022-09-10,2
2022-09-12,193
2022-09-13,242
2022-09-14,229
2022-09-15,240
2022-09-16,130
2022-09-19,163
2022-09-20,235
2022-09-21,208
2022-09-22,251
2022-09-23,123
2022-09-26,160
2022-09-27,260
2022-09-28,230
2022-09-29,240
2022-09-30,163
2022-10-03,205
2022-10-04,243
2022-10-05,248
2022-10-06,224
2022-10-07,113
2022-10-10,186
2022-10-11,248
2022-10-12,187
2022-10-13,220
2022-10-14,139
2022-10-17,219
2022-10-18,213
2022-10-19,281
2022-10-20,268
2022-10-21,147
2022-10-24,163
2022-10-25,201
2022-10-26,211
2022-10-27,216
2022-10-28,93
2022-10-31,50
2022-11-01,13
2022-11-02,183
2022-11-03,173
2022-11-04,105
2022-11-07,226
2022-11-08,270
2022-11-09,255
2022-11-10,150
2022-11-11,4
2022-11-14,233
2022-11-15,276
2022-11-16,271
2022-11-17,282
2022-11-18,105
2022-11-21,196
2022-11-22,305
2022-11-23,275
2022-11-24,245
2022-11-25,152
2022-11-28,237
2022-11-29,271
2022-11-30,219
2022-12-01,256
2022-12-02,123
2022-12-05,216
2022-12-06,309
2022-12-07,238
2022-12-08,313
2022-12-09,204
2022-12-12,292
2022-12-13,304
2022-12-14,232
2022-12-15,262
2022-12-16,122
2022-12-19,125
2022-12-20,145
2022-12-21,126
2022-12-22,101
2022-12-23,26
2022-12-26,38
2022-12-27,44
2022-12-28,39
2022-12-29,40
2022-12-30,14
2023-01-02,112
2023-01-03,206
2023-01-04,200
2023-01-05,211
2023-01-06,110
2023-01-09,240
2023-01-10,284
2023-01-11,262
2023-01-12,231
2023-01-13,120
2023-01-16,240
2023-01-17,287
2023-01-18,269
2023-01-19,103
2023-01-20,134
2023-01-23,247
2023-01-24,264
2023-01-25,285
2023-01-26,240
2023-01-27,138
2023-01-28,1
2023-01-30,256
2023-01-31,137
2023-02-01,228
2023-02-02,197
2023-02-03,188
2023-02-04,1
2023-02-06,246
2023-02-07,165
2023-02-08,266
2023-02-09,279
2023-02-10,193
2023-02-13,257
2023-02-14,254
2023-02-15,308
2023-02-16,264
2023-02-17,149
2023-02-20,159
2023-02-21,181
2023-02-22,212
2023-02-23,184
2023-02-24,75
2023-02-27,152
2023-02-28,219
2023-03-01,219
2023-03-02,211
2023-03-03,77
2023-03-06,256
2023-03-07,154
2023-03-08,272
2023-03-09,234
2023-03-10,139
2023-03-13,303
2023-03-14,288
2023-03-15,247
2023-03-16,293
2023-03-17,184
2023-03-20,240
2023-03-21,281
2023-03-22,283
2023-03-23,186
2023-03-24,165
2023-03-27,224
2023-03-28,225
2023-03-29,274
2023-03-30,270
2023-03-31,131
2023-04-01,1
2023-04-03,231
2023-04-04,288
2023-04-05,290
2023-04-06,199
2023-04-07,104
2023-04-10,12
2023-04-11,267
2023-04-12,268
2023-04-13,234
2023-04-14,147
2023-04-17,282
2023-04-18,328
2023-04-19,274
2023-04-20,260
2023-04-21,153
2023-04-24,175
2023-04-25,270
2023-04-26,220
2023-04-27,187
2023-04-28,92
2023-05-01,14
2023-05-02,132
2023-05-03,153
2023-05-04,165
2023-05-05,73
2023-05-08,15
2023-05-09,214
2023-05-10,274
2023-05-11,229
2023-05-12,169
2023-05-15,274
2023-05-16,284
2023-05-17,204
2023-05-18,14
2023-05-19,36
2023-05-22,244
2023-05-23,349
2023-05-24,338
2023-05-25,285
2023-05-26,125
2023-05-27,2
2023-05-29,124
2023-05-30,301
2023-05-31,320
2023-06-01,299
2023-06-02,168
2023-06-05,308
2023-06-06,350
2023-06-07,332
2023-06-08,357
2023-06-09,192
2023-06-12,291
2023-06-13,337
2023-06-14,278
2023-06-15,273
2023-06-16,156
2023-06-19,215
2023-06-20,294
2023-06-21,292
2023-06-22,318
2023-06-23,183
2023-06-25,1
2023-06-26,267
2023-06-27,302
2023-06-28,270
2023-06-29,286
2023-06-30,138
2023-07-03,231
2023-07-04,272
2023-07-05,255
2023-07-06,230
2023-07-07,120
2023-07-10,236
2023-07-11,243
2023-07-12,285
2023-07-13,185
2023-07-14,9
2023-07-17,173
2023-07-18,221
2023-07-19,234
2023-07-20,230
2023-07-21,87
2023-07-24,152
2023-07-25,173
2023-07-26,226
2023-07-27,202
2023-07-28,78
2023-07-31,108
2023-08-01,142
2023-08-02,139
2023-08-03,129
2023-08-04,69
2023-08-07,92
2023-08-08,133
2023-08-09,107
2023-08-10,111
2023-08-11,47
2023-08-14,33
2023-08-15,9
2023-08-16,92
2023-08-17,95
2023-08-18,48
2023-08-19,1
2023-08-21,125
2023-08-22,174
2023-08-23,153
2023-08-24,160
2023-08-25,68
2023-08-27,1
2023-08-28,156
2023-08-29,209
2023-08-30,223
2023-08-31,182
2023-09-01,105
2023-09-04,201
2023-09-05,272
2023-09-06,276
2023-09-07,276
2023-09-08,114
2023-09-11,272
2023-09-12,292
2023-09-13,233
2023-09-14,278
2023-09-15,146
2023-09-18,235
2023-09-19,288
2023-09-20,255
2023-09-21,261
2023-09-22,155
2023-09-25,239
2023-09-26,255
2023-09-27,250
2023-09-28,252
2023-09-29,80
